city,区/市/县/旗,基站标识eNodeBID,小区标识（CellID）,k,基站中文名,扇区中文名,longitude,latitude,站点类型,设备厂家,扇区覆盖区域类型,农村/城区大类,物理小区标识(PCI),TAC,频段指示,天线方位角（度）,数据最近更新日期,id,tf, 
新余市,分宜县,1041408,145,1041408_145,XY_HBNB_DT_分宜洞村乡$洞村沧上村隧道F2DC_L,XY_HB_L_DT_分宜洞村乡$洞村沧上村隧道F2DC-1,114.819991,28.042131,宏站,华为,农村,农村,123,29725,5,110,2017/9/29 0:00,98673,农村, 
新余市,分宜县,1041408,146,1041408_146,XY_HBNB_DT_分宜洞村乡$洞村沧上村隧道F2DC_L,XY_HB_L_DT_分宜洞村乡$洞村沧上村隧道F2DC-2,114.819991,28.042131,宏站,华为,农村,农村,124,29725,5,200,2017/9/29 0:00,98674,农村, 
新余市,分宜县,1041408,147,1041408_147,XY_HBNB_DT_分宜洞村乡$洞村沧上村隧道F2DC_L,XY_HB_L_DT_分宜洞村乡$洞村沧上村隧道F2DC-3,114.819991,28.042131,宏站,华为,农村,农村,125,29725,5,330,2017/9/29 0:00,98675,农村, 
新余市,分宜县,1041409,145,1041409_145,XY_HBNB_DT_分宜钤山砻里村$钤山山下村林场F2FD_L,XY_HB_L_DT_分宜钤山砻里村$钤山山下村林场F2FD-1,114.64895,27.74282,宏站,华为,农村,农村,141,29725,5,0,2017/9/29 0:00,98676,农村, 
新余市,分宜县,1041409,146,1041409_146,XY_HBNB_DT_分宜钤山砻里村$钤山山下村林场F2FD_L,XY_HB_L_DT_分宜钤山砻里村$钤山山下村林场F2FD-2,114.64895,27.74282,宏站,华为,农村,农村,142,29725,5,100,2017/9/29 0:00,98677,农村, 
新余市,分宜县,1041409,147,1041409_147,XY_HBNB_DT_分宜钤山砻里村$钤山山下村林场F2FD_L,XY_HB_L_DT_分宜钤山砻里村$钤山山下村林场F2FD-3,114.64895,27.74282,宏站,华为,农村,农村,143,29725,5,200,2017/9/29 0:00,98678,农村, 
新余市,分宜县,1041410,145,1041410_145,XY_HBNB_DT_分宜钤山新祉村$钤山堂下贺元F2QS_L,XY_HB_L_DT_分宜钤山新祉村$钤山堂下贺元F2QS-1,114.668323,27.70611,宏站,华为,农村,农村,243,29725,5,40,2017/9/29 0:00,98679,农村, 
新余市,分宜县,1041410,146,1041410_146,XY_HBNB_DT_分宜钤山新祉村$钤山堂下贺元F2QS_L,XY_HB_L_DT_分宜钤山新祉村$钤山堂下贺元F2QS-2,114.668323,27.70611,宏站,华为,农村,农村,244,29725,5,160,2017/9/29 0:00,98680,农村, 
新余市,分宜县,1041410,147,1041410_147,XY_HBNB_DT_分宜钤山新祉村$钤山堂下贺元F2QS_L,XY_HB_L_DT_分宜钤山新祉村$钤山堂下贺元F2QS-3,114.668323,27.70611,宏站,华为,农村,农村,245,29725,5,300,2017/9/29 0:00,98681,农村, 
新余市,分宜县,1041412,145,1041412_145,XY_HBNB_DT_分宜钤山苑坑村$钤山龙源村F2QS_L,XY_HB_L_DT_分宜钤山苑坑村$钤山龙源村F2QS-1,114.70049,27.65472,宏站,华为,农村,农村,231,29461,5,60,2017/9/29 0:00,98682,农村, 
新余市,分宜县,1041412,146,1041412_146,XY_HBNB_DT_分宜钤山苑坑村$钤山龙源村F2QS_L,XY_HB_L_DT_分宜钤山苑坑村$钤山龙源村F2QS-2,114.70049,27.65472,宏站,华为,农村,农村,232,29461,5,150,2017/9/29 0:00,98683,农村, 
新余市,分宜县,1041412,147,1041412_147,XY_HBNB_DT_分宜钤山苑坑村$钤山龙源村F2QS_L,XY_HB_L_DT_分宜钤山苑坑村$钤山龙源村F2QS-3,114.70049,27.65472,宏站,华为,农村,农村,233,29461,5,320,2017/9/29 0:00,98684,农村, 
新余市,分宜县,1041414,145,1041414_145,XY_HBNB_DT_分宜双林大坑杨桥煤矿$凤阳礼堂F2YQ_L,XY_HB_L_DT_分宜双林大坑杨桥煤矿$凤阳礼堂F2YQ-1,114.659779,27.908214,宏站,华为,农村,农村,453,29725,5,30,2017/9/29 0:00,98685,农村, 
新余市,分宜县,1041414,146,1041414_146,XY_HBNB_DT_分宜双林大坑杨桥煤矿$凤阳礼堂F2YQ_L,XY_HB_L_DT_分宜双林大坑杨桥煤矿$凤阳礼堂F2YQ-2,114.659779,27.908214,宏站,华为,农村,农村,454,29725,5,190,2017/9/29 0:00,98686,农村, 
新余市,分宜县,1041414,147,1041414_147,XY_HBNB_DT_分宜双林大坑杨桥煤矿$凤阳礼堂F2YQ_L,XY_HB_L_DT_分宜双林大坑杨桥煤矿$凤阳礼堂F2YQ-3,114.659779,27.908214,宏站,华为,农村,农村,455,29725,5,290,2017/9/29 0:00,98687,农村, 
