city,区/市/县/旗,基站标识eNodeBID,小区标识（CellID）,k,基站中文名,扇区中文名,longitude,latitude,站点类型,设备厂家,扇区覆盖区域类型,农村/城区大类,物理小区标识(PCI),TAC,频段指示,天线方位角（度）,数据最近更新日期,id,tf, 
九江市,德安县,456192,0,456192_0,JJ_DT_XT_德安县供电局BBU德安县火车站RRU,JJ_DT_L_XT_德安县火车站-1,115.76,29.312,宏站,大唐,县城,城区,无,无,41,270,2017/9/29 0:00,49094,城市, 
九江市,德安县,456192,1,456192_1,JJ_DT_XT_德安县供电局BBU德安县火车站RRU,JJ_DT_L_XT_德安县火车站-2,115.76,29.312,宏站,大唐,县城,城区,无,无,41,270,2017/9/29 0:00,49095,城市, 
九江市,德安县,456192,2,456192_2,JJ_DT_XT_德安县供电局BBU德安县火车站RRU,JJ_DT_L_XT_德安县火车站-3,115.76,29.312,宏站,大唐,县城,城区,无,无,41,270,2017/9/29 0:00,49096,城市, 
九江市,德安县,456193,3,456193_3,JJ_DT_XD_德安县电信局,JJ_DT_S_XD_德安县电信局营业厅-4,115.758,29.3311,室分,大唐,县城,城区,无,无,41,60,2017/9/29 0:00,49097,城市, 
九江市,德安县,456193,0,456193_0,JJ_DT_XD_德安县电信局,JJ_DT_W_XD_德安县电信局-1,115.758,29.3311,宏站,大唐,县城,城区,无,无,41,270,2017/9/29 0:00,49098,城市, 
九江市,德安县,456193,1,456193_1,JJ_DT_XD_德安县电信局,JJ_DT_W_XD_德安县电信局-2,115.758,29.3311,宏站,大唐,县城,城区,无,无,41,60,2017/9/29 0:00,49099,城市, 
九江市,德安县,456193,2,456193_2,JJ_DT_XD_德安县电信局,JJ_DT_W_XD_德安县电信局-3,115.758,29.3311,宏站,大唐,县城,城区,无,无,41,60,2017/9/29 0:00,49100,城市, 
九江市,德安县,828387,145,828387_145,JJ_HBNB_XT_德安县木环电信所$,JJ_HB_L_XT_德安县宝塔乡东山村$-1,115.657598,29.327393,宏站,华为,农村,农村,45,29632,5,150,2017/9/29 0:00,49101,农村, 
九江市,德安县,828387,146,828387_146,JJ_HBNB_XT_德安县木环电信所$,JJ_HB_L_XT_德安县宝塔乡东山村$-2,115.657598,29.327393,宏站,华为,农村,农村,46,29632,5,315,2017/9/29 0:00,49102,农村, 
九江市,德安县,828374,145,828374_145,JJ_HBNB_DT_德安县爱民乡土塘村大冲垄$,JJ_HB_W_DT_德安县爱民乡土塘村大冲垄$-1,115.575035,29.412581,宏站,华为,农村,农村,51,28501,5,120,2017/9/29 0:00,49103,农村, 
九江市,德安县,828374,146,828374_146,JJ_HBNB_DT_德安县爱民乡土塘村大冲垄$,JJ_HB_W_DT_德安县爱民乡土塘村大冲垄$-2,115.575035,29.412581,宏站,华为,农村,农村,52,28501,5,185,2017/9/29 0:00,49104,农村, 
九江市,德安县,828374,147,828374_147,JJ_HBNB_DT_德安县爱民乡土塘村大冲垄$,JJ_HB_W_DT_德安县爱民乡土塘村大冲垄$-3,115.575035,29.412581,宏站,华为,农村,农村,53,28501,5,345,2017/9/29 0:00,49105,农村, 
九江市,德安县,828375,145,828375_145,JJ_HBNB_DT_德安县爱民乡西泉村$,JJ_HB_W_DT_德安县爱民乡西泉村$-1,115.556451,29.465844,宏站,华为,农村,农村,78,29632,5,0,2017/9/29 0:00,49106,农村, 
九江市,德安县,828375,146,828375_146,JJ_HBNB_DT_德安县爱民乡西泉村$,JJ_HB_W_DT_德安县爱民乡西泉村$-2,115.556451,29.465844,宏站,华为,农村,农村,79,29632,5,220,2017/9/29 0:00,49107,农村, 
九江市,德安县,828379,145,828379_145,JJ_HBNB_DT_德安县宝塔乡东山村老屋郭家$,JJ_HB_W_DT_德安县宝塔乡东山村老屋郭家$-1,115.665961,29.318542,宏站,华为,农村,农村,60,28499,5,80,2017/9/29 0:00,49108,农村, 
九江市,德安县,828379,146,828379_146,JJ_HBNB_DT_德安县宝塔乡东山村老屋郭家$,JJ_HB_W_DT_德安县宝塔乡东山村老屋郭家$-2,115.665961,29.318542,宏站,华为,农村,农村,61,28499,5,220,2017/9/29 0:00,49109,农村, 
九江市,德安县,828379,147,828379_147,JJ_HBNB_DT_德安县宝塔乡东山村老屋郭家$,JJ_HB_W_DT_德安县宝塔乡东山村老屋郭家$-3,115.665961,29.318542,宏站,华为,农村,农村,62,28499,5,320,2017/9/29 0:00,49110,农村, 
九江市,德安县,828373,145,828373_145,JJ_HBNB_DT_德安县车桥镇白羊村$,JJ_HB_W_DT_德安县车桥镇白羊村$-1,115.459376,29.385312,宏站,华为,农村,农村,93,28501,5,50,2017/9/29 0:00,49111,农村, 
九江市,德安县,828373,146,828373_146,JJ_HBNB_DT_德安县车桥镇白羊村$,JJ_HB_W_DT_德安县车桥镇白羊村$-2,115.459376,29.385312,宏站,华为,农村,农村,94,28501,5,150,2017/9/29 0:00,49112,农村, 
九江市,德安县,828373,147,828373_147,JJ_HBNB_DT_德安县车桥镇白羊村$,JJ_HB_W_DT_德安县车桥镇白羊村$-3,115.459376,29.385312,宏站,华为,农村,农村,95,28501,5,270,2017/9/29 0:00,49113,农村, 
九江市,德安县,828372,145,828372_145,JJ_HBNB_DT_德安县车桥镇九井村杨梅$,JJ_HB_W_DT_德安县车桥镇九井村杨梅$-1,115.389453,29.379968,宏站,华为,农村,农村,126,29632,5,70,2017/9/29 0:00,49114,农村, 
九江市,德安县,828372,146,828372_146,JJ_HBNB_DT_德安县车桥镇九井村杨梅$,JJ_HB_W_DT_德安县车桥镇九井村杨梅$-2,115.389453,29.379968,宏站,华为,农村,农村,127,29632,5,135,2017/9/29 0:00,49115,农村, 
九江市,德安县,828372,147,828372_147,JJ_HBNB_DT_德安县车桥镇九井村杨梅$,JJ_HB_W_DT_德安县车桥镇九井村杨梅$-3,115.389453,29.379968,宏站,华为,农村,农村,128,29632,5,265,2017/9/29 0:00,49116,农村, 
九江市,德安县,828370,145,828370_145,JJ_HBNB_DT_德安县车桥镇黎家村$,JJ_HB_W_DT_德安县车桥镇黎家村$-1,115.426572,29.401976,宏站,华为,农村,农村,120,28501,5,20,2017/9/29 0:00,49117,农村, 
九江市,德安县,828370,146,828370_146,JJ_HBNB_DT_德安县车桥镇黎家村$,JJ_HB_W_DT_德安县车桥镇黎家村$-2,115.426572,29.401976,宏站,华为,农村,农村,121,28501,5,120,2017/9/29 0:00,49118,农村, 
九江市,德安县,828370,147,828370_147,JJ_HBNB_DT_德安县车桥镇黎家村$,JJ_HB_W_DT_德安县车桥镇黎家村$-3,115.426572,29.401976,宏站,华为,农村,农村,122,28501,5,260,2017/9/29 0:00,49119,农村, 
九江市,德安县,828371,145,828371_145,JJ_HBNB_DT_德安县车桥镇严家昄$,JJ_HB_W_DT_德安县车桥镇严家昄$-1,115.437482,29.393492,宏站,华为,农村,农村,102,29632,5,60,2017/9/29 0:00,49120,农村, 
九江市,德安县,828371,146,828371_146,JJ_HBNB_DT_德安县车桥镇严家昄$,JJ_HB_W_DT_德安县车桥镇严家昄$-2,115.437482,29.393492,宏站,华为,农村,农村,103,29632,5,220,2017/9/29 0:00,49121,农村, 
九江市,德安县,828371,147,828371_147,JJ_HBNB_DT_德安县车桥镇严家昄$,JJ_HB_W_DT_德安县车桥镇严家昄$-3,115.437482,29.393492,宏站,华为,农村,农村,104,29632,5,320,2017/9/29 0:00,49122,农村, 
九江市,德安县,828378,145,828378_145,JJ_HBNB_DT_德安县丰林镇芦溪村$,JJ_HB_W_DT_德安县丰林镇芦溪村$-1,115.700292,29.383659,宏站,华为,农村,农村,66,29632,5,110,2017/9/29 0:00,49123,农村, 
九江市,德安县,828378,146,828378_146,JJ_HBNB_DT_德安县丰林镇芦溪村$,JJ_HB_W_DT_德安县丰林镇芦溪村$-2,115.700292,29.383659,宏站,华为,农村,农村,67,29632,5,180,2017/9/29 0:00,49124,农村, 
九江市,德安县,828378,147,828378_147,JJ_HBNB_DT_德安县丰林镇芦溪村$,JJ_HB_W_DT_德安县丰林镇芦溪村$-3,115.700292,29.383659,宏站,华为,农村,农村,68,29632,5,300,2017/9/29 0:00,49125,农村, 
九江市,德安县,828376,145,828376_145,JJ_HBNB_DT_德安县邹桥镇杨坊村$,JJ_HB_W_DT_德安县邹桥镇杨坊村$-1,115.456619,29.427984,宏站,华为,农村,农村,87,29632,5,70,2017/9/29 0:00,49126,农村, 
九江市,德安县,828376,146,828376_146,JJ_HBNB_DT_德安县邹桥镇杨坊村$,JJ_HB_W_DT_德安县邹桥镇杨坊村$-2,115.456619,29.427984,宏站,华为,农村,农村,88,29632,5,240,2017/9/29 0:00,49127,农村, 
九江市,德安县,828376,147,828376_147,JJ_HBNB_DT_德安县邹桥镇杨坊村$,JJ_HB_W_DT_德安县邹桥镇杨坊村$-3,115.456619,29.427984,宏站,华为,农村,农村,89,29632,5,340,2017/9/29 0:00,49128,农村, 
九江市,德安县,828377,145,828377_145,JJ_HB_NT_德安县聂桥镇聂桥9组$,JJ_HB_W_NT_德安县聂桥镇聂桥9组$-1,115.661415,29.42336,宏站,华为,农村,农村,24,28501,5,90,2017/9/29 0:00,49129,农村, 
九江市,德安县,828377,146,828377_146,JJ_HB_NT_德安县聂桥镇聂桥9组$,JJ_HB_W_NT_德安县聂桥镇聂桥9组$-2,115.661415,29.42336,宏站,华为,农村,农村,25,28501,5,170,2017/9/29 0:00,49130,农村, 
九江市,德安县,828397,145,828397_145,JJ_HBNB_XT_德安县爱民乡南山村$,JJ_HB_W_XT_德安县爱民乡南山村$-1,115.537233,29.411156,宏站,华为,农村,农村,72,29632,5,130,2017/9/29 0:00,49131,农村, 
